"filename", "language", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\LARRIEN\Desktop\Portfolio\MERN\Instagram\instagram\src\App.js", "JavaScript", 32, 0, 0, 7, 39
"c:\Users\LARRIEN\Desktop\Portfolio\MERN\Instagram\instagram\src\components\CreatePopup\createPopup.js", "JavaScript", 81, 0, 3, 13, 97
"c:\Users\LARRIEN\Desktop\Portfolio\MERN\Instagram\instagram\src\components\CreatePopup\popup.css", "CSS", 0, 156, 0, 26, 182
"c:\Users\LARRIEN\Desktop\Portfolio\MERN\Instagram\instagram\src\components\Explore\content.css", "CSS", 0, 20, 0, 3, 23
"c:\Users\LARRIEN\Desktop\Portfolio\MERN\Instagram\instagram\src\components\Explore\exploreContent.js", "JavaScript", 9, 0, 0, 4, 13
"c:\Users\LARRIEN\Desktop\Portfolio\MERN\Instagram\instagram\src\components\Loading\loading.css", "CSS", 0, 16, 0, 1, 17
"c:\Users\LARRIEN\Desktop\Portfolio\MERN\Instagram\instagram\src\components\Loading\loading.js", "JavaScript", 10, 0, 0, 4, 14
"c:\Users\LARRIEN\Desktop\Portfolio\MERN\Instagram\instagram\src\components\Message\followerContainer.js", "JavaScript", 77, 0, 3, 15, 95
"c:\Users\LARRIEN\Desktop\Portfolio\MERN\Instagram\instagram\src\components\Message\message.css", "CSS", 0, 190, 3, 44, 237
"c:\Users\LARRIEN\Desktop\Portfolio\MERN\Instagram\instagram\src\components\Message\messageBox.js", "JavaScript", 64, 0, 6, 17, 87
"c:\Users\LARRIEN\Desktop\Portfolio\MERN\Instagram\instagram\src\components\Message\messageList.js", "JavaScript", 22, 0, 0, 5, 27
"c:\Users\LARRIEN\Desktop\Portfolio\MERN\Instagram\instagram\src\components\Navigation\navigation.css", "CSS", 0, 162, 3, 32, 197
"c:\Users\LARRIEN\Desktop\Portfolio\MERN\Instagram\instagram\src\components\Navigation\navigation.js", "JavaScript", 45, 0, 0, 11, 56
"c:\Users\LARRIEN\Desktop\Portfolio\MERN\Instagram\instagram\src\components\Notification\NotifList.js", "JavaScript", 16, 0, 0, 3, 19
"c:\Users\LARRIEN\Desktop\Portfolio\MERN\Instagram\instagram\src\components\Notification\Notifbox.js", "JavaScript", 16, 0, 0, 4, 20
"c:\Users\LARRIEN\Desktop\Portfolio\MERN\Instagram\instagram\src\components\Notification\notif.css", "CSS", 0, 58, 1, 10, 69
"c:\Users\LARRIEN\Desktop\Portfolio\MERN\Instagram\instagram\src\components\Profile\popup.css", "CSS", 0, 69, 1, 11, 81
"c:\Users\LARRIEN\Desktop\Portfolio\MERN\Instagram\instagram\src\components\Profile\posts.js", "JavaScript", 19, 0, 0, 4, 23
"c:\Users\LARRIEN\Desktop\Portfolio\MERN\Instagram\instagram\src\components\Profile\profile.css", "CSS", 0, 317, 4, 60, 381
"c:\Users\LARRIEN\Desktop\Portfolio\MERN\Instagram\instagram\src\components\Profile\profileInfo.js", "JavaScript", 117, 0, 6, 20, 143
"c:\Users\LARRIEN\Desktop\Portfolio\MERN\Instagram\instagram\src\components\Profile\profilePopup.js", "JavaScript", 50, 0, 2, 10, 62
"c:\Users\LARRIEN\Desktop\Portfolio\MERN\Instagram\instagram\src\components\Reels\commentPopup.js", "JavaScript", 87, 0, 5, 12, 104
"c:\Users\LARRIEN\Desktop\Portfolio\MERN\Instagram\instagram\src\components\Reels\content.js", "JavaScript", 27, 0, 0, 7, 34
"c:\Users\LARRIEN\Desktop\Portfolio\MERN\Instagram\instagram\src\components\Reels\reels.css", "CSS", 0, 335, 2, 75, 412
"c:\Users\LARRIEN\Desktop\Portfolio\MERN\Instagram\instagram\src\components\Reels\reels.js", "JavaScript", 159, 0, 12, 39, 210
"c:\Users\LARRIEN\Desktop\Portfolio\MERN\Instagram\instagram\src\components\Story\story.css", "CSS", 0, 52, 0, 13, 65
"c:\Users\LARRIEN\Desktop\Portfolio\MERN\Instagram\instagram\src\components\Story\story.js", "JavaScript", 37, 0, 1, 6, 44
"c:\Users\LARRIEN\Desktop\Portfolio\MERN\Instagram\instagram\src\components\Suggestion\sugestion.css", "CSS", 0, 134, 2, 28, 164
"c:\Users\LARRIEN\Desktop\Portfolio\MERN\Instagram\instagram\src\components\Suggestion\sugestion.js", "JavaScript", 61, 0, 0, 13, 74
"c:\Users\LARRIEN\Desktop\Portfolio\MERN\Instagram\instagram\src\components\comment.css", "CSS", 0, 54, 0, 13, 67
"c:\Users\LARRIEN\Desktop\Portfolio\MERN\Instagram\instagram\src\components\comment.js", "JavaScript", 20, 0, 0, 4, 24
"c:\Users\LARRIEN\Desktop\Portfolio\MERN\Instagram\instagram\src\controller\reelsController.js", "JavaScript", 0, 0, 0, 1, 1
"c:\Users\LARRIEN\Desktop\Portfolio\MERN\Instagram\instagram\src\hooks\useFetchCommets.js", "JavaScript", 24, 0, 1, 9, 34
"c:\Users\LARRIEN\Desktop\Portfolio\MERN\Instagram\instagram\src\hooks\useFetchLikeDetails.js", "JavaScript", 25, 0, 1, 7, 33
"c:\Users\LARRIEN\Desktop\Portfolio\MERN\Instagram\instagram\src\hooks\useFetchMessages.js", "JavaScript", 27, 0, 1, 6, 34
"c:\Users\LARRIEN\Desktop\Portfolio\MERN\Instagram\instagram\src\hooks\useFetchPosts.js", "JavaScript", 24, 0, 3, 5, 32
"c:\Users\LARRIEN\Desktop\Portfolio\MERN\Instagram\instagram\src\hooks\useFetchUserInfo.js", "JavaScript", 29, 0, 1, 8, 38
"c:\Users\LARRIEN\Desktop\Portfolio\MERN\Instagram\instagram\src\index.css", "CSS", 0, 24, 0, 3, 27
"c:\Users\LARRIEN\Desktop\Portfolio\MERN\Instagram\instagram\src\index.js", "JavaScript", 13, 0, 0, 2, 15
"c:\Users\LARRIEN\Desktop\Portfolio\MERN\Instagram\instagram\src\pages\Explore\Explore.js", "JavaScript", 33, 0, 0, 6, 39
"c:\Users\LARRIEN\Desktop\Portfolio\MERN\Instagram\instagram\src\pages\Explore\explore.css", "CSS", 0, 33, 0, 4, 37
"c:\Users\LARRIEN\Desktop\Portfolio\MERN\Instagram\instagram\src\pages\Home\index.js", "JavaScript", 22, 0, 0, 6, 28
"c:\Users\LARRIEN\Desktop\Portfolio\MERN\Instagram\instagram\src\pages\Login\Login.css", "CSS", 0, 144, 1, 23, 168
"c:\Users\LARRIEN\Desktop\Portfolio\MERN\Instagram\instagram\src\pages\Login\login.js", "JavaScript", 75, 0, 4, 14, 93
"c:\Users\LARRIEN\Desktop\Portfolio\MERN\Instagram\instagram\src\pages\Messages\message.css", "CSS", 0, 15, 0, 2, 17
"c:\Users\LARRIEN\Desktop\Portfolio\MERN\Instagram\instagram\src\pages\Messages\messages.js", "JavaScript", 23, 0, 0, 8, 31
"c:\Users\LARRIEN\Desktop\Portfolio\MERN\Instagram\instagram\src\pages\NotFound\notfound.css", "CSS", 0, 33, 0, 4, 37
"c:\Users\LARRIEN\Desktop\Portfolio\MERN\Instagram\instagram\src\pages\NotFound\pagenotfound.js", "JavaScript", 13, 0, 0, 3, 16
"c:\Users\LARRIEN\Desktop\Portfolio\MERN\Instagram\instagram\src\pages\Profile\profile.css", "CSS", 0, 7, 0, 0, 7
"c:\Users\LARRIEN\Desktop\Portfolio\MERN\Instagram\instagram\src\pages\Profile\profile.js", "JavaScript", 17, 0, 1, 6, 24
"c:\Users\LARRIEN\Desktop\Portfolio\MERN\Instagram\instagram\src\pages\Signup\signup.css", "CSS", 0, 176, 1, 26, 203
"c:\Users\LARRIEN\Desktop\Portfolio\MERN\Instagram\instagram\src\pages\Signup\signup.js", "JavaScript", 82, 0, 2, 10, 94
